GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
avrela,com.github.maureon.avrela.apm.model,IssueSimilarity,102,63,2,2,18,7,3,3,2,2
avrela,com.github.maureon.avrela.apm.model,Sprint,22,68,0,2,5,13,3,10,3,9
avrela,com.github.maureon.avrela.apm.model,IssueSimilarity.Feature,0,21,0,0,0,4,0,1,0,1
avrela,com.github.maureon.avrela.apm.model,HistoricalApmData,28,41,0,2,7,9,5,4,5,3
avrela,com.github.maureon.avrela.apm.model,SprintState,0,15,0,0,0,3,0,1,0,1
avrela,com.github.maureon.avrela.apm.model,IssueState,0,15,0,0,0,3,0,1,0,1
avrela,com.github.maureon.avrela.apm.model,IssueEventType,0,39,0,0,0,7,0,1,0,1
avrela,com.github.maureon.avrela.apm.model,Issue,22,125,12,18,6,18,14,12,2,9
avrela,com.github.maureon.avrela.apm.adapter.github.model,GitHubIssue,6,54,2,12,2,9,2,8,0,3
avrela,com.github.maureon.avrela.apm.adapter.github.model,GitHubIssueEventType,0,45,0,0,0,8,0,1,0,1
avrela,com.github.maureon.avrela.apm.adapter.github.model,GitHubIssueEvent,0,8,0,0,0,1,0,1,0,1
avrela,com.github.maureon.avrela.apm.adapter.github.model,GitHubItemState,0,15,0,0,0,3,0,1,0,1
avrela,com.github.maureon.avrela.apm.adapter.github.model,GitHubMilestoneState,3,0,0,0,1,0,1,0,1,0
avrela,com.github.maureon.avrela.css.adapter.web,ScmWebRubricEvaluation,16,0,0,0,1,0,1,0,1,0
avrela,com.github.maureon.avrela.css.adapter.web,ApmController,35,7,0,0,11,2,2,2,2,2
avrela,com.github.maureon.avrela.css.adapter.web,WebHistoricalScmData,77,0,0,0,22,0,6,0,6,0
avrela,com.github.maureon.avrela.css.adapter.web,WebRubricEvaluation,16,0,0,0,1,0,1,0,1,0
avrela,com.github.maureon.avrela.css.adapter.web,ScmController,35,7,0,0,11,2,2,2,2,2
avrela,com.github.maureon.avrela.similarity,JaroWinklerDistance,11,185,5,29,3,42,5,14,1,1
avrela,com.github.maureon.avrela.similarity,Jaccard,5,36,2,2,2,9,3,1,1,1
avrela,com.github.maureon.avrela.scm.adapter.github.mapper,GitHubCommitFileMapper,0,46,0,4,0,13,0,5,0,3
avrela,com.github.maureon.avrela.scm.adapter.github.mapper,GitHubCommitMapper,4,91,1,5,1,24,1,5,0,3
avrela,com.github.maureon.avrela.scm.adapter.github,GitHubCommitRepository,6,60,0,4,2,14,0,5,0,3
avrela,com.github.maureon.avrela.scm.adapter.github,GitHubScmClient,19,46,1,1,6,14,1,1,0,1
avrela,com.github.maureon.avrela.scm.adapter.github,GitHubHistoricalScmDataRepository,0,49,0,2,0,13,0,2,0,1
avrela,com.github.maureon.avrela.apm.adapter.github,GitHubIssueRepository,0,104,1,5,0,21,1,5,0,3
avrela,com.github.maureon.avrela.apm.adapter.github,GitHubAuthenticationInterceptor,0,13,0,0,0,2,0,1,0,1
avrela,com.github.maureon.avrela.apm.adapter.github,GitHubHistoricalApmDataRepository,0,15,0,0,0,5,0,1,0,1
avrela,com.github.maureon.avrela.apm.adapter.github,GitHubApmClient,19,46,1,1,6,14,1,1,0,1
avrela,com.github.maureon.avrela.apm.adapter.github,ZonedDateTimeTypeAdapter,4,15,0,2,1,5,1,3,1,2
avrela,com.github.maureon.avrela.apm.adapter.github,GitHubSprintRepository,4,194,1,15,1,38,1,11,0,4
avrela,com.github.maureon.avrela.apm.adapter.github.mapper,GitHubLabelMapper,0,37,0,4,0,9,0,5,0,3
avrela,com.github.maureon.avrela.apm.adapter.github.mapper,GitHubMilestoneMapper,4,74,1,5,1,17,1,5,0,3
avrela,com.github.maureon.avrela.apm.adapter.github.mapper,GitHubIssueMapper,0,87,0,6,0,22,0,5,0,2
avrela,com.github.maureon.avrela.apm.adapter.github.mapper,GitHubIssueEventMapper,4,64,2,6,0,17,2,5,0,3
avrela,com.github.maureon.avrela.apm.adapter.github.mapper,GitHubCommentMapper,0,49,0,4,0,12,0,5,0,3
avrela,com.github.maureon.avrela.css.port,ApmCssEvaluationService,212,0,0,0,62,0,3,0,3,0
avrela,com.github.maureon.avrela.css.port,WebHistoricalScmDataMapper,28,0,0,0,10,0,2,0,2,0
avrela,com.github.maureon.avrela.css.port,ApmCriteriaService,0,48,0,0,0,10,0,3,0,3
avrela,com.github.maureon.avrela.css.port,ScmCriteriaService,20,177,6,12,6,36,6,9,0,6
avrela,com.github.maureon.avrela.css.port,ScmEvaluationService,242,0,0,0,63,0,3,0,3,0
avrela,com.github.maureon.avrela.css.util,ScmCssDataGenerator,96,0,0,0,43,0,6,0,6,0
avrela,com.github.maureon.avrela.css.util,ApmCssDataGenerator,104,0,0,0,47,0,6,0,6,0
avrela,com.github.maureon.avrela.css.util,RubricDataGenerator,149,0,0,0,34,0,3,0,3,0
avrela,com.github.maureon.avrela.css.model,CommitSimilarityResult,13,0,0,0,7,0,1,0,1,0
avrela,com.github.maureon.avrela.css.model,IssueSimilarityResult,17,0,0,0,9,0,1,0,1,0
avrela,com.github.maureon.avrela.css.model,ApmCaseStudySimulation,91,58,10,4,32,14,7,5,1,4
avrela,com.github.maureon.avrela.css.model,ScmCaseStudySimulation,92,52,10,4,32,11,7,3,1,2
avrela,com.github.maureon.avrela.css.model,Rubric,7,186,2,16,2,26,3,10,1,3
avrela,com.github.maureon.avrela,AvrelaApplication,17,7,2,0,5,2,2,2,1,2
avrela,com.github.maureon.avrela.apm.adapter.web.mapper,WebHistoricalApmDataMapper,47,0,0,0,17,0,3,0,3,0
avrela,com.github.maureon.avrela.apm.adapter.web,WebHistoricalApmData,143,0,4,0,40,0,16,0,14,0
avrela,com.github.maureon.avrela.scm.model,CommitSimilarity.Feature,0,15,0,0,0,3,0,1,0,1
avrela,com.github.maureon.avrela.scm.model,Commit,18,44,3,7,8,11,4,6,1,4
avrela,com.github.maureon.avrela.scm.model,CommitSimilarity,79,69,0,0,14,8,2,2,2,2
avrela,com.github.maureon.avrela.scm.model,HistoricalScmData,3,86,1,9,1,19,1,8,0,4
